Title,Price,Number of Bedrooms,Number of Bathrooms,Property Type,Floor Area (m2),BER Rating,Latitude,Longitude,Listing Views,Area,County,Features,Date of Construction,Price_per_m2,PriceCategory,PriceCategoryEncoded
"32 Cartur Mor, Clybaun Road, H91TFY7",400000,4,3,4,108.0,9,53.275508,-9.104506,2545.0,knocknacarra-galway,3,"Four bed semi detached home, Popular residential location, Spacious semi-detached property, Oil Fired eating & double glazed windows, Large attic space suitable for conversion, Tarmacadam driveway with parking, Well serviced by local amenities, Minutes from several shops & schools, Quality transport links to & from Galway City, Easy access to UCHG & University of Galway",2001.0,3703.703703703704,Medium,2
"Lisnagar Demesne, Rathcormac, Co. Cork, P61DA00",1700000,5,7,0,469.0,6,52.075556,-8.298872,7779.0,rathcormac-cork,1,"Total land holding of approx. 10.45 Ha. (25.83 acres) to include 9.92 Ha. (24.51 acres) of arable land , Detached home of approx. 468.83 Sq. M. / 5,046 Sq. Ft., BER C1, Built in 1996, Access via a beautiful tree lined drive-way, Fully automated security gates / Full CCTV system / Commercially alarmed - intruder & fire, Stud railing, Single & three phase power / Back-up generator power supply, Private water supply / Drainage to septic tank / Pumped showers, Internet access",1966.0,3624.7334754797444,High,0
"8 Oblate Drive, Inchicore, Dublin 8, D08V6FV",325000,2,1,3,48.0,10,53.336208,-6.32927,14435.0,inchicore-dublin,0,"Year of construction 1910, Recently refurbished, Red brick facade, End of terrace, Sash windows, Ample storage, Block shed, Engineered oak flooring, Fully integrated kitchen, High spec finish",1920.0,6770.833333333333,Medium-Low,3
"23 Pine Road, The Woodlands, Portlaw, Co. Waterford, X91CHK3",360000,3,2,0,227.0,5,52.292848,-7.319326,3570.0,portlaw-waterford,14,"Prime Location , PVC Double Glazing, Rear Enclosed Garden , Double Glazing , Patio Doors, Sunroom , Oil Fired Central Heating",2005.0,1585.9030837004404,Medium,2
"115 Carrigweir, Tuam, Tuam, Co. Galway, H54YA24",375000,4,4,0,152.0,5,53.51468,-8.862157,3068.0,tuam-galway,3,"Impeccably Presented Turnkey Residence , Spacious Accommodation , Highly Energy Efficient, Wonderfully Located, 30 Minutes from Galway City, Walking Distance to Tuam Town, High Speed Broadband Available , Three Floors of Accommodation, Move-in Ready, Exceptional Value for Money",2006.0,2467.1052631578946,Medium,2
"8 Wyse's Cottages, Blarney Street, Sunday's Well, Co. Cork, T23F8N8",275000,2,1,3,74.0,6,51.901305,-8.489715,63012.0,sunday-s-well-cork,1,"Fully upgraded throughout, New Gas Zoned Central Heating , Short Walk to Sundays Well, Close to Cork City, Ideal investment Property - no rental history , Private South Facing garden to the front, Cul De Sac, New PVC Double Glazed Windows, Newly wired throughout, Close to UCC",1900.0,3716.2162162162163,Medium-Low,3
"25 The Hibernian, The Gasworks, South Lotts Road, Dublin 4, D04P6K2",395000,1,1,8,54.0,5,53.338922,-6.235775,5904.0,dublin-4-dublin,0,Unknown,2003.0,7314.814814814815,Medium,2
"21 The Granary, Abbeyknockmoy, Monivea, Co. Galway, H54XN47",330000,4,3,4,124.0,7,53.436233,-8.747767,1923.0,monivea-galway,3,"Spacious Family Residence, Not Overlooked to the Front or Back, Located in the Heart of Abbeyknockmoy Village, 5 Minute Drive to the Motorway, less than 30 Minutes to Galway City",2007.0,2661.2903225806454,Medium-Low,3
"27 Rocklands Avenue, Ballybane, Galway City, Co. Galway, H91KWP8",330000,4,2,4,123.0,9,53.285656,-9.010163,4560.0,galway-city,3,"Large corner site, FOLIO GY5318F, Spacious 3 bedroom detached home, Generous front and rear gardens, Walking distance to schools, shops & ATU College, Well serviced by local amenities & sports facilities, Daily bus service to & from Galway city located nearby, Easy access to Galway City, M6 motorway & Oranmore, Moments of Galway Clinic & Merlin Park Hospital, Close to Boston Scientific, Merit Medical & Creganna",1978.0,2682.9268292682927,Medium-Low,3
"Rossaveel Upper, Ballynahown, Co. Galway, H91WP9C",475000,5,4,0,215.0,3,53.27482,-9.549256,8672.0,ballynahown-galway,3,Unknown,2009.0,2209.3023255813955,Medium-High,1
"10 Stillorgan Gate, Kilmacud Road Upper, Kilmacud, Co. Dublin, D14RX06",1250000,4,3,5,192.0,1,53.285806,-6.224107,7816.0,kilmacud-dublin,0,Unknown,2018.0,6510.416666666667,High,0
"248 Laraghcon, Lucan, Co. Dublin, K78HN72",535000,4,3,3,140.0,5,53.36459,-6.447448,8968.0,lucan-dublin,0,Unknown,2005.0,3821.4285714285716,Medium-High,1
"Hilltop, Tumnahulla, Corrandulla, Co. Galway, H91A6FT",420000,3,2,0,110.0,8,53.402679,-8.970187,3481.0,corrandulla-galway,3,"Oil fired central heating., Water is Galway County Council supply with a septic tank onsite., Elevated site hence house name ""Hilltop"", No houses either side of house., High level of insulation throughout house with pumped cavity walls and attic insulation., Tar-mac drive, footpaths, patio., High speed broadband available., Mature fruit trees in rear garden., Double glazing throughout house., Fully tiled bathroom and en-suite with electric and power shower.",1970.0,3818.181818181818,Medium,2
"Cloghbrack Upper, Cloghbrack, Clonbur, Co. Galway, F12VF98",190000,4,1,6,112.0,10,53.554433,-9.457565,5769.0,clonbur-galway,3,"Scenic Location, Charming traditional features, Recently re-roofer and insultated, Accessibility friendly modifications",1956.0,1696.4285714285713,Low,4
"Moyveela, Oranmore, Co. Galway, H91RXA3",350000,3,1,6,114.0,10,53.271381,-8.840071,3715.0,oranmore-galway,3,"Site of 0.4 acre approx., Spacious 3 bed detached home, Built c.1966, Generous gardens to front and rear",1966.0,3070.1754385964914,Medium,2
"Boleybeg East, Barna, H91K230",695000,5,3,0,214.0,7,53.284024,-9.13459,8615.0,barna-galway,3,"Built Circa 2004, Spacious detached c 215 sqm, Mature private landscaped site, Rural setting closed to Galway City, Walking distance to Drom playing fields, Easy access to UCHG & University of Galway, Several schools, shops & parks in the area, Substantial gardens front, side & rear",2003.0,3247.663551401869,High,0
"94 Old Cabra Road, Dublin 7, Navan Road (D7), Dublin 7, D07F2P7",1250000,3,3,4,170.0,6,53.360274,-6.294232,9044.0,navan-road-d7-dublin,0,"Turnkey condition, Modern finish throughout, Large rear garden, Excellent location., Space for 3 cars for off street parking, Electric gate & state of the art security system installed, renovated to a very high standard throughout, Floored attic space for extra storage, Large attic",1928.0,7352.941176470588,High,0
"22 Patrick Street, Dun Laoghaire, Co. Dublin, A96CF51",495000,2,1,5,68.0,10,53.291274,-6.137658,8729.0,dun-laoghaire-dublin,0,"Charming two-bedroom mid-terrace period home in a highly convenient location, West facing rear courtyard, Gas fired central heating, Fantastic location in the heart of Dun Laoghaire, Excellent transport links including DART several bus routes (QBC) Aircoach M50 and N11, On street permit parking, BER D2",1905.0,7279.411764705882,Medium-High,1
"16 The Waterfront, Bridge Street, Galway City Centre, H91K6K7",475000,3,2,8,88.0,7,53.271658,-9.055406,9297.0,Unknown,11,"Spacious upper floor apartment, Excellent condition, Abundance of accommodation, Security doors & lift access, City Centre location, Corner balcony with River outlook, City living at its finest, Walking distance to Galway University",1994.0,5397.727272727273,Medium-High,1
"Cloverhill, Sligo, Co. Sligo, F91H5V2",645000,5,3,0,211.0,4,54.23816,-8.514905,10317.0,sligo-sligo,17,"uPVC Double Glazed Windows & Doors, Solid Oak Doors & Stairs, BEAM Vacuum System, Enjoys 1GB Fibre Broadband, Stands on c. 0.84 acres with large Detached Garage, Ample Parking to Front Side & Rear, Mature Landscaped Gardens Surround, Scenic & Quiet Residential Area, Oil Fired Central Heating Solid Fuel Burning Stove & Raised Gas Fire, Alarmed",2006.0,3056.872037914692,High,0
"Aille, Barna, Co. Galway, H91P58F",600000,4,2,0,184.0,9,53.265412,-9.145455,8278.0,barna-galway,3,"Large detached residence, Spacious site of approximately 0.76 acres, Manicured green & private surroundings, Thoughtfully postioned outdoor patios, Sought after southerly aspect, Abundance of accommodation & reception spaces, Plentiful natural light, Popular residential area, Close proximity to Barna Village, Well serviced for nearby amenities in Barna & Knocknacarra",1978.0,3260.8695652173915,Medium-High,1
"Lower Ballygarvan, Ballygarvan, Co. Cork, T12AH31",625000,4,3,0,177.0,5,51.820432,-8.479628,12194.0,ballygarvan-cork,1,"Beautiful Detached on a wonderful setting, Standing on 1.2acres of mature gardens, 4 Double bedrooms, Detached Concrete built Garage, Spacious parking area, PVC Double Glazed Windows, Close to Cork Airport, CUH, Ringaskiddy, Kinsale, Oil Central Heating, 10mins from Carrigaline, South Facing",1991.0,3531.0734463276835,Medium-High,1
"98 Tudor Grove, Ashbourne, Ashbourne, Co. Meath, A84E671",495000,4,3,0,165.0,7,53.516048,-6.403225,3789.0,ashbourne-meath,10,"Spacious Four Bedroom Residence , Beautiful Light Filled Extension, Close to all Amenities",1991.0,3000.0,Medium-High,1
"Cleadagh Cottage, Cleadagh, Spanish Point, Co. Clare, V95CX26",625000,3,2,0,130.0,13,52.859091,-9.429988,12453.0,spanish-point-clare,8,"Stunning sea views, Prime location within a short distance of Spanish Point, Selection of beaches, restaurants, cafes, hotels, golf course, etc in close proximity , Large site (5.14 acres) with direct access onto the coastline, Adjoining garage and spacious 61 sq. metre studio and mezzanine area with potential for multiple use, Eircode V95 CX26, Folio No: CE28119 and CE43390F",1968.0,4807.692307692308,Medium-High,1
"Dunamaise, Johnduffswood, Oldleighlin, Co. Carlow, R93WF10",425000,4,4,0,192.0,5,52.751005,-7.023952,13383.0,oldleighlin-carlow,22,Unknown,2009.0,2213.5416666666665,Medium,2
"Apartment 1, Kingston House, Barna Road, Kingston, Co. Galway, H91RK46",350000,3,2,8,74.0,7,53.260404,-9.120607,4911.0,kingston-galway,3,"Three bed ground floor apartment, Popular location on main Barna Road, Small development of 4 apartments, Ample parking - Bike & Bin storage to rear, Management Fee circa &#x20AC;1855 pa, Feature wooden flooring - Master bedroom en suite, Electric storage heaters & double glazing, Close to Barna Woods, Cappagh Park & Rusheen Bay, Easy access to Galway City, UCHG & University of Galway, Moments from Tesco , Aldi and Knocknacarra Retail Park",2008.0,4729.72972972973,Medium,2
"2 Costello Road, H91HP6W",235000,2,1,5,66.0,14,53.275526,-9.069846,7292.0,shantalla-galway,3,"Built c. mid 1940's, Solid fuel central heating, Front and rear gardens, On street parking, Close to University and hospital., Vacant prior to Covid 19 pandemic lockdown., Should qualify for Vacant Property Refurbishment Grant.",1950.0,3560.6060606060605,Low,4
"148 Clochrn, Kilcloghans, Tuam, Co. Galway, H54D762",315000,4,3,4,113.0,6,53.529453,-8.857084,5912.0,tuam-galway,3,"Delighfuly Presented, Fully Upgraded, Beautifully Designed Back Garden, Premium Kitchen, Spacious Interior, Wonderful Location, Adjacent to Motorway Connection, 30 Minutes from Galway City, Turnkey Condition ",2005.0,2787.6106194690265,Medium-Low,3
"18 Saint Endas Avenue, Tuam, Tuam, Co. Galway, H54WR65",150000,3,1,4,80.0,11,53.509712,-8.856419,3942.0,tuam-galway,3,"Qualifies for Substantial Grants of up to 70,000 Euro, Centrally Located, Great value Home, Just a Short Stroll to Tuam Town Centre, 30 Minutes to Galway City, 2 Minutes to the Motorway, High Speed Broadband Available , Excellent Potential ",1950.0,1875.0,Low,4
"10 Inis Alainn, Fiddown, Co. Kilkenny, E32WD30",240000,3,3,0,94.0,7,52.332553,-7.316668,6077.0,fiddown-kilkenny,15,"Oil fired central heating, Two garden sheds, Solar panels, Immaculate condition, Small private estate",2007.0,2553.191489361702,Low,4
"73 Woodfield, Cappagh Road, Knocknacarra, Co. Galway, H91WDN0",380000,4,2,3,115.0,9,53.261484,-9.12626,2472.0,knocknacarra-galway,3,"4 bed end of terrace over 3 storeys, No management fees, OFCH & double glazed windows, Ample off street parking to front, Communal rear garden with access to shed, Overlooks a large green area to front, Close to several schools, restaurants & retail parks, Excellent bus service to & from Galway City, Easy access to Galway City, Salthill & Barna, Minutes from Barna Woods, Cappagh Pk & Rusheen Bay",1995.0,3304.3478260869565,Medium,2
"70 The Green, College Road, Galway City Centre, H91XTY4",450000,4,3,4,115.0,6,53.278115,-9.040864,6927.0,Unknown,11,"Exceptionally Well Located , Spacious Accommodation , Move-In Ready, Owner Occupied , Never Rented",1990.0,3913.0434782608695,Medium,2
"Montpelier, 64 Orwell Park, Rathgar, Dublin 6, D06X4E6",3750000,6,3,0,352.0,12,53.307039,-6.267568,11802.0,rathgar-dublin,0,Unknown,1860.0,10653.40909090909,High,0
"Stonebridge Farmhouse, Ahacross, Kildorrery, Co. Cork, P67R963",410000,4,3,0,229.0,4,52.257955,-8.385395,34620.0,kildorrery-cork,1,"Large site with tarmacadam driveway, Turn-key property, B2 Energy Rating/Solar panells, Pressurized water system, OFCH, Electric gates, Block Built Shed, 5 minute commute from Kildorrery village, 10 minute commute from Mitchelstown and the M8 motorway., 35 minute commute to the Jack Lynch Tunnell",2007.0,1790.3930131004367,Medium,2
"Gardenfield, H54A990",290000,3,1,0,84.0,13,53.540699,-8.871709,23841.0,tuam-galway,3,"Gardenfield- much sought after address, Potential to extend, Two minutes drive to Tuam bypass and motorway, Renovated home presented in turnkey condition, New double glazed uPVC windows, New oil fired central heating boiler, Renovated bathroom, Outbuilding / Garage / shed to include 3 no. stables., High speed broadband available, Scenic location",1956.0,3452.3809523809523,Medium-Low,3
"16 Renmore Road, Renmore, Co. Galway, H91XVX4",475000,3,2,8,149.0,6,53.277395,-9.023529,3447.0,renmore-galway,3,"RETAIL UNIT - D2 - 801026220 - 527.72 kWh/m2/yr., 57 sq.m. (613.55 sq.ft.) approx., APARTMENT - C1 - 104129952 - 171.32 kWh/mÂ²/yr., 92.34sq.m. (993 sqft.) approx., Rewired and new heating condenser boiler., Apartment was registered with RTB., Vacant since January 2024., You Must Pre-Register on Our Website - With Bidder Security Fee Paid By - 5TH DECEMBER 2024.",1968.0,3187.9194630872485,Medium-High,1
"Glenlucan Lodge, Glenlucan Court, Killarney Road, Bray, Co. Wicklow, A98E9X2",1100000,4,5,0,226.0,1,53.198827,-6.119561,6466.0,bray-wicklow,4,"Totally private.Not visible from the street, Pretty fairy tale well, Open-plan reception rooms ideal for entertaining, Home office plus four large ensuite bedrooms, Underfloor heating throughout on both floors, Solid Oak internal doors and staircase, Fibre broadband plus Satellite dish with octo LMB to all rooms, Electric car charging point, Electric gates, A2 BER rating",2018.0,4867.256637168141,High,0
"Bealach Ceart, 3 Seapoint, Barna, Co. Galway, H91Y8HF",595000,4,3,0,141.0,2,53.250955,-9.152711,6057.0,barna-galway,3,"Modern 4 bed detached home, Located in the heart of Barna Village, Presented in showhouse condition, Excellent A3 energy rating, Modern design and functionality throughout, Air-to-water heat pump & central heating system, South facing aspect to rear garden, Three parking spaces in adjacent development, Excellent local amenities within walking distance, Easy access to Galway City, Furbo, Spiddal & Connemara",2002.0,4219.858156028369,Medium-High,1
"33 Loch Eala, Lough Gowna, Co. Cavan, H12X389",495000,4,5,0,221.0,6,53.870792,-7.529761,18028.0,lough-gowna-cavan,20,"BER A2, Stunning location beside Loch Eala, Interior design by Bree Hamilton, Four en-suite bedrooms, Detached home office in back garden, Cobblelock to front and back of property",2006.0,2239.819004524887,Medium-High,1
"15 Greystones, Blackstone Bridge, Killeens, Co. Cork, T23V068",475000,5,3,0,204.0,4,51.919988,-8.504007,8724.0,killeens-cork,1,"Spacious Detached Home , Outdoor dining area to the side , Spacious driveway , B2 Energy Rating , PVC Double Glazed Windows , Oil Central Heating , Detached concrete built garage to the side , 2 Ensuites , Close to Cork City Centre ",2005.0,2328.4313725490197,Medium-High,1
"11 Crannagh Way, Rathfarnham, Churchtown, Dublin 14, D14P9P5",1050000,4,3,0,205.0,6,53.301224,-6.27586,8456.0,churchtown-dublin,0,Unknown,1997.0,5121.951219512195,High,0
"13 Deerpark Road, Castleknock, Dublin 15, D15X86P",1675000,5,2,0,190.0,7,53.372312,-6.351842,7396.0,castleknock-dublin,0,5 Bedroom detached family home on large grounds ,1970.0,8815.78947368421,High,0
"Kilshanny, Island Lane, Ballinakill, Waterford, X91K6VH",800000,6,4,7,274.0,7,52.245859,-7.063573,10997.0,knockboy-waterford,14,"6 Bedrooms, Entrance Hall, Dining Area, Living Room, Kitchen/Diner, Utility Room, Conservatory, Office, Main Bathroom, En-Suite",1978.0,2919.70802919708,High,0
"Currinara, Foxford, Co Mayo, F26E8D5",495000,4,0,0,195.0,8,53.974964,-9.101287,14497.0,foxford-mayo,6,"High quality finish throughout., Thoughtfully landscaped gardens with a rockery to the rear., Built-in Garden BBQ., Waterfall to the rear of the property., Patio to the front., Oil-fired central heating., Off-street parking for a number of cars., Large double garage to the side., Fantastic views all around., Close to Foxford",2000.0,2538.4615384615386,Medium-High,1
"Moorepark House, Moorepark, Garristown, Co. Meath, A42D653",950000,6,3,0,358.0,6,53.588215,-6.408478,22310.0,garristown-meath,10,"Architecturally designed,  stone built, charming country home with spacious and luxury living accommodation., Built 2000 with style, grace, imagination and attention to detail., c.1 acres of mature gardens with a large parking area and sun-trap deck., Tranquil country setting., 10 Minutes from Ashbourne Town and the M2. 2 mins drive from Garristown village., Close to the local shop/ petrol station, country pubs and national schools, coffe shop, library, church and golf clubs etc, c.25 mins drive of Dublin Airport., Oil heating, open fire, septic tank, mains water, Two large attic areas access by fitted stira stairs",2000.0,2653.631284916201,High,0
"19 Doctor Mannix Road, Salthill, Co. Galway, H91W9HE",900000,7,3,4,282.0,9,53.264826,-9.081299,8445.0,salthill-galway,3,"Large semi-detached residence, Double-fronted with abundance of accommodation, Corner site position, Dual access, Spacious private gardens, Popular residential location of Salthill, Easy access to local shops & sporting facilities, Short walk to Salthill Village & Promenade, Close to several Primary & Secondary Schools, Easy accessto Galway University, UCHG & City Centre",1964.0,3191.4893617021276,High,0
"87 Garran Ard, Doughiska, Co. Galway, H91RWE1",380000,5,6,3,139.0,7,53.282566,-8.97726,7261.0,doughiska-galway,3,"Superbly presented 5 bed end of terrace, Popular & sought after residential location, 5 bedrooms all with ensuites & built in wardobes, Private rear garden & parking available to front, Walking distance of Merlin Woods NS & Merlin College, Minutes from Galway Clinic & Merlin Park Hospital, Close to several business parks & shopping areas, Well serviced by local amenities & sports facilities, Daily bus services to & from Galway City located nearby, Easy access to the M6 & M18 motorways and Oranmore",2003.0,2733.8129496402876,Medium,2
"26 The Orchards, Tullow Road, Carlow Town, Co. Carlow, R93FP89",359950,4,2,6,121.0,9,52.828418,-6.903634,5387.0,carlow-town-carlow,22,"Great location & close too many local amenities, Quite neighbourhood/area, Generously proportioned throughout, Enclosed Rear Garden with side entrance, Off Street Parking",1994.0,2974.793388429752,Medium,2
"Apartment 106, Forbes Quay Apartments, Grand Canal Dock, Dublin 2, D02X027",555000,2,2,8,70.0,3,53.345489,-6.239353,12001.0,grand-canal-dock-dublin,0,"Second Floor Apartment, Passenger Lift, Dual aspect balconies, Bicycle Storage, Gas Fired Central Heating,  Comfortable BER Rating,  Landscaped Residents' Courtyard, Riverfront Location, Adjacent Grand Canal Square, Close to Barrow Street and Tara Street DART",2005.0,7928.571428571428,Medium-High,1
"3 Louis Lane, Leinster Road, Rathmines, Dublin 6, D06CD60",1295000,3,2,5,186.0,5,53.324409,-6.269076,22266.0,rathmines-dublin,0,Unknown,1998.0,6962.365591397849,High,0
"Grange, Turloughmore, Co. Galway, H65AK79",365000,4,2,0,121.0,7,53.347267,-8.862659,5217.0,turloughmore-galway,3,"Spacious 4 bed detached bungalow, Popular residential area close to Cregmore, Mature Site 0.37 acres - folio GY14160F, Easy access to Cregmore NS & Golf Club, 8k to villages of Claregalway & Lackagh, Oil Fired Central Heating, Feature Tirolla solid fuel stove, Large gardens front, side and rear, Ample off street paring for multiple cars, Attached garage & 2nd separate garage",1982.0,3016.528925619835,Medium,2
"Cregnanagh, Shrule, Shrule, Co. Mayo, H91A0YD",395000,5,3,0,296.0,5,53.546504,-9.109413,9742.0,shrule-mayo,6,"Stunning Family Residence, Handsomely Upgraded, Contemporary Interiors, Spacious and Modern Open Plan Layout, Exceptionally Spacious, Large Attic Space, 1.5 Acre Site, 30 Minutes from Galway City",2005.0,1334.4594594594594,Medium,2
"32 Abington, Malahide, Malahide, Co. Dublin, K36D998",1950000,6,5,0,386.0,7,53.445966,-6.1818,23486.0,malahide-dublin,0,Unknown,2000.0,5051.813471502591,High,0
"1 Newtown Abbey, Trim, Co. Meath, C15HY98",550000,3,2,0,127.0,10,53.557095,-6.770312,8266.0,trim-meath,10,"Beautifully positioned house on a large, elevated site., Convenient to all amenities., Detached house on a large site., Stunning views of both the River Boyne.",1983.0,4330.708661417323,Medium-High,1
"3 Coolrua Drive, Dublin 9, Beaumont, Dublin 9, D09F978",460000,3,1,4,87.0,11,53.388938,-6.235343,12501.0,beaumont-dublin,0,"Large side garden with development potential, Gas central heating, Feature fireplace, Timber storage shed, Storm porch, South-east facing garden",1950.0,5287.35632183908,Medium-High,1
